source_part,sample_id,source_video,word_id,label,reason,error,real,actor_id,view,stage,run_id
FILE04,NIA_SL_WORD0001_REAL02_D,2-1/NIA_SL_WORD0001_REAL02_D.mp4,WORD0001,,not MVP label or morpheme missing,,REAL02,02,D,mvp_filter,FILE04_FILE06
FILE04,NIA_SL_WORD0001_REAL02_F,2-1/NIA_SL_WORD0001_REAL02_F.mp4,WORD0001,,not MVP label or morpheme missing,,REAL02,02,F,mvp_filter,FILE04_FILE06
FILE04,NIA_SL_WORD0001_REAL02_L,2-1/NIA_SL_WORD0001_REAL02_L.mp4,WORD0001,,not MVP label or morpheme missing,,REAL02,02,L,mvp_filter,FILE04_FILE06
FILE04,NIA_SL_WORD0001_REAL02_R,2-1/NIA_SL_WORD0001_REAL02_R.mp4,WORD0001,,not MVP label or morpheme missing,,REAL02,02,R,mvp_filter,FILE04_FILE06
FILE04,NIA_SL_WORD0001_REAL02_U,2-1/NIA_SL_WORD0001_REAL02_U.mp4,WORD0001,,not MVP label or morpheme missing,,REAL02,02,U,mvp_filter,FILE04_FILE06
FILE04,NIA_SL_WORD0002_REAL02_D,2-1/NIA_SL_WORD0002_REAL02_D.mp4,WORD0002,,not MVP label or morpheme missing,,REAL02,02,D,mvp_filter,FILE04_FILE06
FILE04,NIA_SL_WORD0002_REAL02_F,2-1/NIA_SL_WORD0002_REAL02_F.mp4,WORD0002,,not MVP label or morpheme missing,,REAL02,02,F,mvp_filter,FILE04_FILE06
FILE04,NIA_SL_WORD0002_REAL02_L,2-1/NIA_SL_WORD0002_REAL02_L.mp4,WORD0002,,not MVP label or morpheme missing,,REAL02,02,L,mvp_filter,FILE04_FILE06
FILE04,NIA_SL_WORD0002_REAL02_R,2-1/NIA_SL_WORD0002_REAL02_R.mp4,WORD0002,,not MVP label or morpheme missing,,REAL02,02,R,mvp_filter,FILE04_FILE06
FILE04,NIA_SL_WORD0002_REAL02_U,2-1/NIA_SL_WORD0002_REAL02_U.mp4,WORD0002,,not MVP label or morpheme missing,,REAL02,02,U,mvp_filter,FILE04_FILE06
FILE04,NIA_SL_WORD0003_REAL02_D,2-1/NIA_SL_WORD0003_REAL02_D.mp4,WORD0003,,not MVP label or morpheme missing,,REAL02,02,D,mvp_filter,FILE04_FILE06
FILE04,NIA_SL_WORD0003_REAL02_F,2-1/NIA_SL_WORD0003_REAL02_F.mp4,WORD0003,,not MVP label or morpheme missing,,REAL02,02,F,mvp_filter,FILE04_FILE06
FILE04,NIA_SL_WORD0003_REAL02_L,2-1/NIA_SL_WORD0003_REAL02_L.mp4,WORD0003,,not MVP label or morpheme missing,,REAL02,02,L,mvp_filter,FILE04_FILE06
FILE04,NIA_SL_WORD0003_REAL02_R,2-1/NIA_SL_WORD0003_REAL02_R.mp4,WORD0003,,not MVP label or morpheme missing,,REAL02,02,R,mvp_filter,FILE04_FILE06
FILE04,NIA_SL_WORD0003_REAL02_U,2-1/NIA_SL_WORD0003_REAL02_U.mp4,WORD0003,,not MVP label or morpheme missing,,REAL02,02,U,mvp_filter,FILE04_FILE06
FILE04,NIA_SL_WORD0004_REAL02_D,2-1/NIA_SL_WORD0004_REAL02_D.mp4,WORD0004,,not MVP label or morpheme missing,,REAL02,02,D,mvp_filter,FILE04_FILE06
FILE04,NIA_SL_WORD0004_REAL02_F,2-1/NIA_SL_WORD0004_REAL02_F.mp4,WORD0004,,not MVP label or morpheme missing,,REAL02,02,F,mvp_filter,FILE04_FILE06
